ONE	W* AH N*	0	1
SIX	S* IH K* S*	0	1
TEN	T* EH N*	0	1
TON	T* AH N*	0	1
TWO	T* UW	0	1
CALF	K* AO L* F*	0	1
ECHO	EH CH OW	0	1
FIVE	F* AY V*	0	1
FOUR	F* OH R*	0	1
ISLE	IH S* L*	0	1
LOSE	L* OW Z*	0	1
MILD	M* AY L* D*	0	1
NINE	N* AY N*	0	1
OVEN	AH V* EH N*	0	1
PUSH	P* AH SH	0	1
SURE	SH UH R*	0	1
SWAP	S* W* AE P*	0	1
VIEW	V* Y* UW	0	1
WALK	W* AO K*	0	1
WARM	W* AO R* M*	0	1
WORD	W* ER D*	0	1
YOLK	Y* AA L* K*	0	1
ZERO	Z* EH R* OW	0	1
BLOOD	B* L* AH D*	0	1
BUILT	B* IH L* T*	0	1
CARRY	K* AE R* IY	0	1
CHILD	CH AY L* D*	0	1
COLOR	K* AA L* ER	0	1
DOZEN	D* OW Z* EH N*	0	1
DREAD	D* R* EH D*	0	1
EARLY	ER L* IY	0	1
EARTH	ER TH	0	1
EIGHT	EY T*	0	1
ERROR	EH R* OH R*	0	1
FLOOD	F* L* AH D*	0	1
FRONT	F* R* AH N* T*	0	1
HASTE	/H AE S* T*	0	1
HONOR	/H AH N* ER	0	1
LEARN	L* ER N*	0	1
MARRY	M* AE R* IY	0	1
MOVIE	M* UW V* IY	0	1
OCEAN	OW SH AH N*	0	1
ONION	OW N* IH N*	0	1
SEVEN	S* EH V* EH N*	0	1
SQUAD	S* K* W* AE D*	0	1
THREE	TH R* IY	0	1
TOUGH	T* AH F*	0	1
UNION	Y* UW N* IH N*	0	1
WEIRD	W* IY R* D*	0	1
WORLD	W* ER L* D*	0	1
YIELD	Y* IY L* D*	0	1
ALMOST	AO L* M* OW S* T*	0	1
ANSWER	AE N* S* ER	0	1
BULLET	B* AH L* EH T*	0	1
COMING	K* AH M* IH NX	0	1
COUPLE	K* AH P* L*	0	1
ENOUGH	IY N* AH F*	0	1
MOTHER	M* AH DH ER	0	1
PERIOD	P* IY R* IY AA D*	0	1
PIERCE	P* IY ER S*	0	1
PLURAL	P* L* UH R* L*	0	1
POLICE	P* AA L* IH S*	0	1
REMOVE	R* IY M* UW V*	0	1
RHYTHM	R* /H IH TH M*	0	1
SHOULD	SH UH D*	0	1
SHOVEL	SH AH V* EH L*	0	1
SQUASH	S* K* W* AE SH	0	1
STATUE	S* T* AE T* UW	0	1
TOWARD	T* OW AA R* D*	0	1
ACHIEVE	AE CH IY V*	0	1
COMFORT	K* AH M* F* AO R* T*	0	1
COUNTRY	K* AH N* T* R* IH Y*	0	1
EARNEST	ER N* EH S* T*	0	1
FREIGHT	F* R* EY T*	0	1
HEALTHY	/H IY L* TH IY	0	1
IMPROVE	IH M* P* R* UW V*	0	1
LETTUCE	L* EH T* T* UW S*	0	1
MACHINE	M* AH SH IY N*	0	1
MEASURE	M* EH ZH ER	0	1
OUTDOOR	AW T* D* OH R*	0	1
SERIOUS	S* IY R* IY AX S*	0	1
SMOTHER	S* M* AH DH ER	0	1
STOMACH	S* T* AA M* AE CH	0	1
SWEATER	S* W* IY T* ER	0	1
TROUBLE	T* R* AH B* AH L*	0	1
WELCOME	W* EH L* K* AH M*	0	1
ANYTHING	EH N* IY TH IH NX	0	1
BUSINESS	B* IH Z* IH N* EH S*	0	1
CLEANSER	K* L* IY N* S* ER	0	1
EVERYONE	EH V* ER IY W* AH N*	0	1
LICORICE	L* IH K* AO R* IH S*	0	1
MECHANIC	M* EH K* AE N* IH K*	0	1
MUSTACHE	M* AH S* T* AE CH	0	1
NEIGHBOR	N* EY B* ER	0	1
NUISANCE	N* UW IH Z* AE N* S*	0	1
PLEASURE	P* L* EH ZH ER	0	1
QUESTION	K* W* EH S* CH N*	0	1
QUOTIENT	K* W* OW SH N* T*	0	1
SHOULDER	SH UH D* ER	0	1
SOMETIME	S* AH M* T* AY M*	0	1
TOMORROW	T* M* AA R* OW	0	1
YOURSELF	Y* OH R* S* EH L* F*	0	1
ANGEL	EY N* J* EH L*	2	1
GUESS	G* EH S*	2	1
GUIDE	G* AY D*	2	1
YOUNG	Y* AH N* G*	2	1
DANGER	D* EY N* J* ER	2	1
FINGER	F* IH NX G* ER	2	1
GARAGE	G* EH R* IH J*	2	1
MANGER	M* EY N* J* ER	2	1
PLAGUE	P* L* AE G*	2	1
RANGER	R* EY N* J* ER	2	1
SPONGE	S* P* AO NX G*	2	1
TONGUE	T* AH N* G*	2	1
AGAINST	AX G* EH N* S* T*	2	1
COURAGE	K* OH R* IH J*	2	1
DUNGEON	D* AH NX G* IY N*	2	1
GREATER	G* R* EY T* ER	2	1
HYGIENE	/H IH J* IY EH N*	2	1
POSTAGE	P* OW S* T* IH J*	2	1
GASOLINE	G* EY S* AA L* IH N*	2	1
LANGUAGE	L* AE NX G* W* IH J*	2	1
SCHEDULE	S* K* EH J* AX L*	2	1
AA	AE AH	0	0
AB	AE B*	0	0
AD	AE D*	0	0
AE	AE	0	0
AH	AE	0	0
AI	EY	0	0
AK	AE K*	0	0
AL	AE L*	0	0
AM	AE M*	0	0
AN	AE N*	0	0
AO	AE OW	0	0
AR	AA R*	0	0
AS	AE Z*	0	0
AT	AE T*	0	0
AW	AO	0	0
AX	AE K* S*	0	0
AY	EY	0	0
BA	B* AH	0	0
BE	B* IY	0	0
BO	B* OW	0	0
BU	B* Y* UW	0	0
BY	B* AY	0	0
CA	K* AH	0	0
CE	S* IY	0	0
DA	D* AH	0	0
DE	D* IY	0	0
DI	D* AY	0	0
DO	D* UW	0	0
EA	IY	0	0
ED	EH D*	0	0
EH	EH	0	0
EL	EH L*	0	0
EM	EH M*	0	0
EN	EH N*	0	0
ER	ER	0	0
ES	EH Z*	0	0
EU	Y* UW	0	0
EX	EH K* S*	0	0
EY	IY	0	0
FA	F* AH	0	0
FE	F* IY	0	0
FI	F* AY	0	0
FO	F* OW	0	0
FU	F* Y* UW	0	0
HA	/H AH	0	0
HE	/H IY	0	0
HI	/H AY	0	0
HO	/H OW	0	0
HU	/H Y* UW	0	0
HY	/H AY	0	0
ID	IH D*	0	0
IE	AY	0	0
IF	IH F*	0	0
IN	IH N*	0	0
IO	IH OW	0	0
IS	IH Z*	0	0
IT	IH T*	0	0
KA	K* AH	0	0
KO	K* OW	0	0
LA	L* AH	0	0
LI	L* AY	0	0
LO	L* OW	0	0
LU	L* UW	0	0
LY	L* AY	0	0
MA	M* AH	0	0
ME	M* IY	0	0
MI	M* AY	0	0
MO	M* OW	0	0
